* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:16:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:08:03, Feb 2 19:10:03, Feb 2 19:11:53, Feb 2 19:13:10, Feb 2 19:14:39, Feb 2 19:16:14
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
205.811 65.058 -117.187
206.177 65.196 -124.254
206.543 65.329 -131.120
206.909 65.456 -137.781
207.275 65.578 -144.239
207.642 65.693 -150.492
208.008 65.803 -156.542
208.374 65.906 -162.387
208.740 66.003 -168.031
209.106 66.094 -173.473
209.473 66.179 -178.716
209.839 66.258 176.238
210.205 66.331 171.386
210.571 66.399 166.726
210.938 66.461 162.254
211.304 66.518 157.966
211.670 66.570 153.858
212.036 66.617 149.926
212.402 66.660 146.164
212.769 66.698 142.566
213.135 66.731 139.129
213.501 66.761 135.846
213.867 66.787 132.711
214.233 66.809 129.718
214.600 66.827 126.862
214.966 66.842 124.136
215.332 66.853 121.535
215.698 66.861 119.052
216.064 66.865 116.684
216.431 66.866 114.424
216.797 66.863 112.268
217.163 66.857 110.212
217.529 66.847 108.252
217.896 66.834 106.385
218.262 66.817 104.607
218.628 66.796 102.917
218.994 66.771 101.313
219.360 66.743 99.793
219.727 66.711 98.357
220.093 66.675 97.003
220.459 66.635 95.732
220.825 66.592 94.543
221.191 66.546 93.438
221.558 66.497 92.416
221.924 66.445 91.478
222.290 66.391 90.624
222.656 66.336 89.856
223.022 66.279 89.175
223.389 66.221 88.579
223.755 66.163 88.071
224.121 66.106 87.649
224.487 66.051 87.313
224.854 65.998 87.064
225.220 65.949 86.900
225.586 65.904 86.821
225.952 65.865 86.823
226.318 65.832 86.907
226.685 65.808 87.068
227.051 65.792 87.305
227.417 65.787 87.615
227.783 65.792 87.993
228.149 65.809 88.437
228.516 65.839 88.941
228.882 65.883 89.501
229.248 65.940 90.114
229.614 66.012 90.772
229.980 66.098 91.472
230.347 66.198 92.207
230.713 66.312 92.972
231.079 66.440 93.761
231.445 66.580 94.569
231.812 66.734 95.389
232.178 66.898 96.215
232.544 67.073 97.041
232.910 67.257 97.862
233.276 67.450 98.672
233.643 67.651 99.466
234.009 67.857 100.237
234.375 68.069 100.981
234.741 68.286 101.692
235.107 68.505 102.366
235.474 68.727 102.999
235.840 68.951 103.586
236.206 69.176 104.123
236.572 69.400 104.607
236.938 69.625 105.034
237.305 69.848 105.401
237.671 70.069 105.706
238.037 70.288 105.947
238.403 70.505 106.120
238.770 70.719 106.226
239.136 70.929 106.261
239.502 71.135 106.227
239.868 71.338 106.121
240.234 71.536 105.943
240.601 71.730 105.693
240.967 71.919 105.371
241.333 72.103 104.979
241.699 72.282 104.515
242.065 72.456 103.982
242.432 72.624 103.381
242.798 72.787 102.714
243.164 72.944 101.980
243.530 73.096 101.185
243.896 73.242 100.327
244.263 73.381 99.412
244.629 73.515 98.440
244.995 73.643 97.415
245.361 73.765 96.339
245.728 73.880 95.216
246.094 73.990 94.048
246.460 74.093 92.840
246.826 74.190 91.594
247.192 74.280 90.314
247.559 74.365 89.004
247.925 74.443 87.667
248.291 74.515 86.307
248.657 74.581 84.928
249.023 74.640 83.534
249.390 74.693 82.128
249.756 74.740 80.716
250.122 74.781 79.299
250.488 74.816 77.883
250.855 74.845 76.471
251.221 74.868 75.067
251.587 74.886 73.675
251.953 74.897 72.298
252.319 74.903 70.938
252.686 74.904 69.601
253.052 74.899 68.289
253.418 74.889 67.004
253.784 74.874 65.750
254.150 74.855 64.530
254.517 74.830 63.344
254.883 74.802 62.196
255.249 74.769 61.088
255.615 74.732 60.020
255.981 74.692 58.994
256.348 74.649 58.011
256.714 74.602 57.072
257.080 74.553 56.177
257.446 74.501 55.327
257.812 74.448 54.521
258.179 74.393 53.758
258.545 74.337 53.039
258.911 74.279 52.362
259.277 74.222 51.725
259.644 74.164 51.128
260.010 74.107 50.569
260.376 74.050 50.045
260.742 73.994 49.556
261.108 73.940 49.099
261.475 73.888 48.672
261.841 73.837 48.272
262.207 73.790 47.897
262.573 73.744 47.544
262.939 73.702 47.212
263.306 73.663 46.896
263.672 73.627 46.596
264.038 73.595 46.309
264.404 73.566 46.032
264.771 73.541 45.762
265.137 73.520 45.499
265.503 73.502 45.239
265.869 73.488 44.980
266.235 73.478 44.721
266.602 73.471 44.460
266.968 73.468 44.195
267.334 73.468 43.925
267.700 73.471 43.648
268.066 73.477 43.363
268.433 73.486 43.069
268.799 73.497 42.766
269.165 73.511 42.451
269.531 73.527 42.126
269.897 73.544 41.788
270.264 73.564 41.438
270.630 73.585 41.075
270.996 73.608 40.699
271.362 73.631 40.310
271.729 73.656 39.907
272.095 73.681 39.491
272.461 73.707 39.062
272.827 73.733 38.619
273.193 73.759 38.164
273.560 73.786 37.695
273.926 73.812 37.214
274.292 73.838 36.721
274.658 73.864 36.216
275.024 73.889 35.700
275.391 73.914 35.173
275.757 73.938 34.635
276.123 73.960 34.088
276.489 73.982 33.531
276.855 74.003 32.965
277.222 74.022 32.391
277.588 74.040 31.810
277.954 74.056 31.223
278.320 74.071 30.629
278.687 74.085 30.031
279.053 74.096 29.428
279.419 74.106 28.823
279.785 74.114 28.215
280.151 74.120 27.606
280.518 74.124 26.997
280.884 74.126 26.390
281.250 74.125 25.784
281.616 74.123 25.182
281.982 74.118 24.584
282.349 74.112 23.991
282.715 74.103 23.406
283.081 74.092 22.829
283.447 74.080 22.260
283.814 74.065 21.703
284.180 74.048 21.156
284.546 74.029 20.622
284.912 74.009 20.102
285.278 73.987 19.596
285.645 73.963 19.105
286.011 73.938 18.630
286.377 73.912 18.173
286.743 73.884 17.732
287.109 73.856 17.310
287.476 73.827 16.906
287.842 73.798 16.521
288.208 73.768 16.155
288.574 73.738 15.808
288.940 73.709 15.480
289.307 73.679 15.171
289.673 73.651 14.881
290.039 73.623 14.609
290.405 73.597 14.355
290.772 73.571 14.120
291.138 73.548 13.901
291.504 73.527 13.698
291.870 73.507 13.511
292.236 73.491 13.339
292.603 73.476 13.180
292.969 73.465 13.034
293.335 73.457 12.899
293.701 73.452 12.775
294.067 73.450 12.660
294.434 73.452 12.553
294.800 73.458 12.453
295.166 73.467 12.357
295.532 73.481 12.266
295.898 73.498 12.177
296.265 73.519 12.088
296.631 73.544 11.999
296.997 73.573 11.907
297.363 73.606 11.812
297.730 73.643 11.710
298.096 73.683 11.602
298.462 73.727 11.485
298.828 73.775 11.357
299.194 73.825 11.217
299.561 73.879 11.063
299.927 73.935 10.894
300.293 73.994 10.708
300.659 74.055 10.503
301.025 74.118 10.279
301.392 74.183 10.033
301.758 74.250 9.764
302.124 74.318 9.471
302.490 74.387 9.153
302.856 74.457 8.808
303.223 74.528 8.435
303.589 74.599 8.034
303.955 74.670 7.603
304.321 74.740 7.141
304.688 74.811 6.648
305.054 74.880 6.123
305.420 74.949 5.565
305.786 75.017 4.975
306.152 75.084 4.351
306.519 75.149 3.694
306.885 75.213 3.003
307.251 75.275 2.279
307.617 75.335 1.521
307.983 75.393 0.729
308.350 75.449 -0.097
308.716 75.503 -0.955
309.082 75.555 -1.847
309.448 75.604 -2.771
309.814 75.651 -3.727
310.181 75.695 -4.714
310.547 75.736 -5.733
310.913 75.775 -6.782
311.279 75.811 -7.861
311.646 75.845 -8.970
312.012 75.876 -10.108
312.378 75.904 -11.274
312.744 75.929 -12.469
313.110 75.951 -13.691
313.477 75.971 -14.940
313.843 75.988 -16.216
314.209 76.002 -17.518
314.575 76.013 -18.846
314.941 76.022 -20.201
315.308 76.028 -21.582
315.674 76.032 -22.988
316.040 76.033 -24.420
316.406 76.031 -25.879
316.772 76.027 -27.365
317.139 76.020 -28.876
317.505 76.011 -30.416
317.871 75.999 -31.983
318.237 75.986 -33.579
318.604 75.970 -35.204
318.970 75.951 -36.859
319.336 75.931 -38.545
319.702 75.909 -40.263
320.068 75.884 -42.015
320.435 75.857 -43.802
320.801 75.829 -45.624
321.167 75.798 -47.483
321.533 75.766 -49.381
321.899 75.731 -51.319
322.266 75.695 -53.299
322.632 75.657 -55.322
322.998 75.617 -57.390
323.364 75.575 -59.504
323.730 75.532 -61.666
324.097 75.486 -63.877
324.463 75.439 -66.140
324.829 75.390 -68.456
325.195 75.339 -70.826
325.562 75.287 -73.252
325.928 75.232 -75.735
326.294 75.176 -78.276
326.660 75.118 -80.877
