* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:20:37, Feb 2 19:21:44, Feb 2 19:23:07, Feb 2 19:24:30, Feb 2 19:25:49, Feb 2 19:27:21
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
154.907 70.501 -143.221
155.273 70.217 -149.407
155.640 69.931 -155.667
156.006 69.645 -161.995
156.372 69.359 -168.381
156.738 69.076 -174.819
157.105 68.797 178.701
157.471 68.523 172.184
157.837 68.256 165.640
158.203 67.998 159.075
158.569 67.750 152.495
158.936 67.513 145.906
159.302 67.287 139.313
159.668 67.075 132.721
160.034 66.874 126.132
160.400 66.687 119.548
160.767 66.512 112.970
161.133 66.349 106.397
161.499 66.198 99.827
161.865 66.056 93.256
162.231 65.924 86.679
162.598 65.801 80.089
162.964 65.684 73.478
163.330 65.573 66.836
163.696 65.467 60.152
164.063 65.365 53.416
164.429 65.267 46.615
164.795 65.172 39.736
165.161 65.079 32.766
165.527 64.990 25.694
165.894 64.903 18.507
166.260 64.820 11.195
166.626 64.742 3.749
166.992 64.669 -3.839
167.358 64.604 -11.575
167.725 64.547 -19.460
168.091 64.501 -27.495
168.457 64.467 -35.678
168.823 64.447 -44.003
169.189 64.444 -52.461
169.556 64.458 -61.042
169.922 64.493 -69.731
170.288 64.548 -78.512
170.654 64.624 -87.365
171.021 64.723 -96.270
171.387 64.842 -105.205
171.753 64.982 -114.146
172.119 65.141 -123.069
172.485 65.317 -131.952
172.852 65.508 -140.770
173.218 65.712 -149.502
173.584 65.926 -158.128
173.950 66.148 -166.628
174.316 66.374 -174.986
174.683 66.604 176.813
175.049 66.834 168.779
175.415 67.063 160.923
175.781 67.289 153.250
176.147 67.510 145.764
176.514 67.725 138.467
176.880 67.932 131.359
177.246 68.132 124.437
177.612 68.321 117.696
177.979 68.501 111.130
178.345 68.670 104.734
178.711 68.828 98.498
179.077 68.974 92.413
179.443 69.109 86.471
179.810 69.231 80.662
180.176 69.341 74.976
180.542 69.438 69.403
180.908 69.524 63.933
181.274 69.597 58.558
181.641 69.657 53.268
182.007 69.705 48.054
182.373 69.742 42.908
182.739 69.766 37.821
183.105 69.779 32.786
183.472 69.780 27.796
183.838 69.770 22.844
184.204 69.749 17.923
184.570 69.717 13.029
184.937 69.675 8.154
185.303 69.623 3.295
185.669 69.562 -1.553
186.035 69.491 -6.394
186.401 69.411 -11.231
186.768 69.323 -16.067
187.134 69.227 -20.905
187.500 69.123 -25.746
187.866 69.012 -30.590
188.232 68.895 -35.439
188.599 68.772 -40.292
188.965 68.644 -45.148
189.331 68.511 -50.005
189.697 68.375 -54.861
190.063 68.235 -59.715
190.430 68.094 -64.561
190.796 67.952 -69.398
191.162 67.809 -74.219
191.528 67.668 -79.022
191.895 67.530 -83.801
192.261 67.397 -88.552
192.627 67.269 -93.268
192.993 67.148 -97.945
193.359 67.037 -102.578
193.726 66.936 -107.161
194.092 66.848 -111.690
194.458 66.775 -116.160
194.824 66.717 -120.566
195.190 66.677 -124.905
195.557 66.656 -129.172
195.923 66.655 -133.364
196.289 66.674 -137.479
196.655 66.714 -141.514
197.021 66.774 -145.467
197.388 66.855 -149.338
197.754 66.955 -153.125
198.120 67.075 -156.829
198.486 67.212 -160.450
198.853 67.364 -163.990
199.219 67.531 -167.449
199.585 67.711 -170.831
199.951 67.902 -174.139
200.317 68.102 -177.375
200.684 68.309 179.456
201.050 68.523 176.350
201.416 68.740 173.302
201.782 68.960 170.306
202.148 69.182 167.357
202.515 69.404 164.449
202.881 69.624 161.576
203.247 69.843 158.731
203.613 70.059 155.908
203.980 70.271 153.101
204.346 70.478 150.303
204.712 70.680 147.508
205.078 70.876 144.711
205.444 71.065 141.905
205.811 71.248 139.085
206.177 71.423 136.246
206.543 71.590 133.383
206.909 71.750 130.493
207.275 71.901 127.571
207.642 72.043 124.615
208.008 72.176 121.620
208.374 72.300 118.585
208.740 72.415 115.507
209.106 72.521 112.385
209.473 72.617 109.216
209.839 72.703 106.000
210.205 72.779 102.735
210.571 72.846 99.421
210.938 72.903 96.055
211.304 72.950 92.637
211.670 72.987 89.166
212.036 73.014 85.640
212.402 73.032 82.058
212.769 73.039 78.419
213.135 73.036 74.720
213.501 73.024 70.960
213.867 73.001 67.134
214.233 72.969 63.242
214.600 72.927 59.278
214.966 72.876 55.240
215.332 72.815 51.123
215.698 72.745 46.923
216.064 72.665 42.635
216.431 72.577 38.253
216.797 72.480 33.774
217.163 72.374 29.190
217.529 72.259 24.498
217.896 72.137 19.691
218.262 72.006 14.765
218.628 71.869 9.714
218.994 71.723 4.535
219.360 71.571 -0.777
219.727 71.413 -6.223
220.093 71.248 -11.807
220.459 71.078 -17.528
220.825 70.903 -23.386
221.191 70.723 -29.381
221.558 70.539 -35.508
221.924 70.352 -41.762
222.290 70.162 -48.139
222.656 69.970 -54.629
223.022 69.777 -61.224
223.389 69.583 -67.911
223.755 69.390 -74.681
224.121 69.198 -81.517
224.487 69.009 -88.405
224.854 68.823 -95.329
225.220 68.640 -102.273
225.586 68.464 -109.218
225.952 68.293 -116.147
226.318 68.130 -123.041
226.685 67.976 -129.882
227.051 67.831 -136.653
227.417 67.696 -143.337
227.783 67.572 -149.916
228.149 67.460 -156.376
228.516 67.361 -162.702
228.882 67.275 -168.882
229.248 67.202 -174.903
229.614 67.142 179.244
229.980 67.095 173.568
230.347 67.061 168.076
230.713 67.040 162.772
231.079 67.031 157.661
231.445 67.033 152.745
231.812 67.045 148.024
232.178 67.067 143.499
232.544 67.097 139.167
232.910 67.135 135.027
233.276 67.180 131.073
233.643 67.229 127.304
234.009 67.283 123.712
234.375 67.341 120.294
234.741 67.401 117.043
235.107 67.463 113.953
235.474 67.525 111.020
235.840 67.587 108.236
236.206 67.649 105.596
236.572 67.709 103.095
236.938 67.767 100.728
237.305 67.823 98.489
237.671 67.877 96.375
238.037 67.927 94.380
238.403 67.973 92.501
238.770 68.016 90.736
239.136 68.056 89.080
239.502 68.091 87.532
239.868 68.122 86.089
240.234 68.150 84.749
240.601 68.174 83.511
240.967 68.194 82.373
241.333 68.210 81.333
241.699 68.223 80.391
242.065 68.233 79.544
242.432 68.240 78.792
242.798 68.245 78.134
243.164 68.247 77.567
243.530 68.248 77.090
243.896 68.247 76.700
244.263 68.246 76.396
244.629 68.245 76.174
244.995 68.243 76.031
245.361 68.243 75.965
245.728 68.243 75.971
246.094 68.245 76.045
246.460 68.250 76.183
246.826 68.257 76.380
247.192 68.267 76.632
247.559 68.281 76.932
247.925 68.299 77.277
248.291 68.321 77.659
248.657 68.347 78.073
249.023 68.378 78.515
249.390 68.414 78.978
249.756 68.455 79.457
250.122 68.500 79.946
250.488 68.551 80.440
250.855 68.607 80.935
251.221 68.667 81.425
251.587 68.733 81.906
251.953 68.802 82.374
252.319 68.876 82.825
252.686 68.954 83.256
253.052 69.035 83.662
253.418 69.120 84.042
253.784 69.208 84.393
254.150 69.298 84.711
254.517 69.391 84.997
254.883 69.486 85.247
255.249 69.582 85.459
255.615 69.680 85.634
255.981 69.779 85.770
256.348 69.879 85.865
256.714 69.978 85.920
257.080 70.078 85.933
257.446 70.178 85.906
257.812 70.276 85.837
258.179 70.374 85.726
258.545 70.471 85.574
258.911 70.566 85.382
259.277 70.660 85.149
259.644 70.751 84.876
260.010 70.841 84.565
260.376 70.927 84.216
260.742 71.011 83.830
261.108 71.093 83.408
261.475 71.171 82.952
261.841 71.246 82.464
262.207 71.318 81.944
262.573 71.386 81.395
262.939 71.451 80.818
263.306 71.513 80.216
263.672 71.570 79.590
264.038 71.624 78.942
264.404 71.674 78.275
264.771 71.721 77.591
265.137 71.764 76.892
265.503 71.802 76.180
265.869 71.838 75.458
266.235 71.869 74.728
266.602 71.897 73.992
266.968 71.922 73.252
267.334 71.943 72.511
267.700 71.961 71.771
268.066 71.975 71.032
268.433 71.987 70.299
268.799 71.996 69.572
269.165 72.002 68.852
269.531 72.005 68.142
269.897 72.006 67.443
270.264 72.005 66.757
270.630 72.002 66.084
270.996 71.997 65.426
271.362 71.991 64.783
271.729 71.983 64.157
272.095 71.973 63.548
272.461 71.963 62.957
272.827 71.952 62.384
273.193 71.941 61.829
273.560 71.929 61.294
273.926 71.916 60.778
274.292 71.904 60.280
274.658 71.892 59.802
275.024 71.881 59.343
275.391 71.870 58.903
275.757 71.860 58.482
276.123 71.851 58.079
276.489 71.843 57.695
276.855 71.836 57.329
277.222 71.830 56.982
277.588 71.827 56.652
277.954 71.824 56.340
278.320 71.824 56.045
278.687 71.826 55.768
279.053 71.829 55.508
279.419 71.835 55.265
279.785 71.843 55.040
280.151 71.853 54.832
280.518 71.865 54.641
280.884 71.880 54.468
281.250 71.897 54.313
281.616 71.917 54.175
281.982 71.940 54.056
282.349 71.965 53.955
282.715 71.992 53.873
283.081 72.023 53.809
283.447 72.056 53.763
283.814 72.092 53.737
284.180 72.131 53.730
284.546 72.173 53.741
284.912 72.218 53.771
285.278 72.265 53.820
285.645 72.316 53.885
286.011 72.369 53.969
286.377 72.425 54.069
286.743 72.485 54.184
287.109 72.547 54.314
287.476 72.611 54.458
287.842 72.679 54.612
288.208 72.749 54.777
288.574 72.822 54.951
288.940 72.897 55.130
289.307 72.974 55.314
289.673 73.054 55.499
290.039 73.135 55.684
290.405 73.218 55.865
290.772 73.303 56.041
291.138 73.390 56.208
291.504 73.478 56.364
291.870 73.566 56.505
292.236 73.656 56.630
292.603 73.746 56.735
292.969 73.837 56.818
293.335 73.928 56.876
293.701 74.019 56.906
294.067 74.110 56.907
294.434 74.200 56.876
294.800 74.290 56.812
295.166 74.379 56.711
295.532 74.467 56.574
295.898 74.555 56.398
296.265 74.641 56.182
296.631 74.726 55.925
296.997 74.809 55.626
297.363 74.891 55.286
297.730 74.971 54.903
298.096 75.050 54.477
298.462 75.127 54.008
298.828 75.202 53.497
299.194 75.275 52.944
299.561 75.346 52.349
299.927 75.415 51.713
300.293 75.482 51.037
300.659 75.547 50.322
301.025 75.610 49.568
301.392 75.671 48.776
301.758 75.729 47.948
302.124 75.786 47.085
302.490 75.840 46.188
302.856 75.893 45.257
303.223 75.943 44.295
303.589 75.991 43.303
303.955 76.037 42.281
304.321 76.080 41.232
304.688 76.122 40.156
305.054 76.161 39.054
305.420 76.198 37.928
305.786 76.233 36.779
306.152 76.266 35.608
306.519 76.296 34.417
306.885 76.324 33.206
307.251 76.350 31.977
307.617 76.373 30.731
307.983 76.394 29.470
308.350 76.413 28.194
308.716 76.429 26.906
309.082 76.443 25.604
309.448 76.455 24.293
309.814 76.464 22.972
310.181 76.470 21.643
310.547 76.474 20.308
310.913 76.475 18.967
311.279 76.474 17.622
311.646 76.470 16.275
312.012 76.464 14.926
312.378 76.455 13.578
312.744 76.443 12.233
313.110 76.429 10.890
313.477 76.411 9.553
313.843 76.391 8.223
314.209 76.368 6.902
314.575 76.343 5.590
314.941 76.314 4.291
315.308 76.283 3.006
315.674 76.249 1.736
316.040 76.212 0.484
316.406 76.172 -0.749
316.772 76.129 -1.960
317.139 76.083 -3.148
317.505 76.034 -4.311
317.871 75.983 -5.447
318.237 75.928 -6.554
318.604 75.871 -7.630
318.970 75.811 -8.674
319.336 75.748 -9.683
319.702 75.682 -10.656
320.068 75.613 -11.592
320.435 75.541 -12.488
320.801 75.467 -13.343
321.167 75.390 -14.156
321.533 75.311 -14.926
321.899 75.228 -15.651
322.266 75.144 -16.331
322.632 75.056 -16.964
322.998 74.967 -17.549
323.364 74.875 -18.087
323.730 74.781 -18.577
324.097 74.685 -19.019
324.463 74.587 -19.413
324.829 74.488 -19.759
325.195 74.386 -20.057
325.562 74.284 -20.310
325.928 74.180 -20.516
326.294 74.074 -20.678
326.660 73.968 -20.796
327.026 73.862 -20.874
327.393 73.754 -20.911
327.759 73.647 -20.912
328.125 73.539 -20.876
328.491 73.432 -20.808
328.857 73.325 -20.709
329.224 73.219 -20.583
329.590 73.114 -20.433
329.956 73.010 -20.261
330.322 72.907 -20.071
330.689 72.807 -19.865
331.055 72.708 -19.648
331.421 72.612 -19.423
331.787 72.519 -19.194
332.153 72.428 -18.963
332.520 72.340 -18.734
332.886 72.256 -18.511
333.252 72.176 -18.297
333.618 72.099 -18.096
333.984 72.025 -17.910
334.351 71.956 -17.744
334.717 71.891 -17.600
335.083 71.830 -17.480
335.449 71.774 -17.389
335.815 71.721 -17.328
336.182 71.673 -17.301
336.548 71.629 -17.309
336.914 71.589 -17.354
337.280 71.554 -17.439
337.647 71.522 -17.566
338.013 71.494 -17.737
338.379 71.470 -17.952
338.745 71.449 -18.213
339.111 71.431 -18.522
339.478 71.417 -18.879
339.844 71.405 -19.285
340.210 71.396 -19.741
340.576 71.389 -20.248
340.942 71.385 -20.806
341.309 71.382 -21.416
341.675 71.382 -22.076
342.041 71.382 -22.789
342.407 71.384 -23.554
342.773 71.387 -24.370
343.140 71.391 -25.238
343.506 71.396 -26.157
343.872 71.400 -27.127
344.238 71.406 -28.148
344.605 71.411 -29.220
